Interval=	0.005 s
ExcelDateTime=	4.6085558275309835e+004	3/4/2026 13:23:54.98677
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMS Biceps
Range=	0.18 mV
0.15	0.06707994
0.155	0.06707994
0.16	0.06707994
0.165	0.06707994
0.17	0.06707994
0.175	0.06707994
0.18	0.06707994
0.185	0.06707994
0.19	0.06707994
0.195	0.06707994
0.2	0.06707994
0.205	0.06660935
0.21	0.06616219
0.215	0.06580988
0.22	0.06533233
0.225	0.06518461
0.23	0.06514251
0.235	0.06522753
0.24	0.06527542
0.245	0.06539672
0.25	0.06552009
0.255	0.06569245
0.26	0.06587016
0.265	0.06608977
0.27	0.06645803
0.275	0.06685364
0.28	0.06728641
0.285	0.06771651
0.29	0.06794088
0.295	0.06824296
0.3	0.06871636
0.305	0.06908125
0.31	0.06928007
0.315	0.06950805
0.32	0.06976484
0.325	0.07003447
0.33	0.07041993
0.335	0.07082967
0.34	0.07123935
0.345	0.07163543
0.35	0.07198213
0.355	0.0722656
0.36	0.07255094
0.365	0.07285472
0.37	0.07317508
0.375	0.07355732
0.38	0.07382128
0.385	0.07407449
0.39	0.07425614
0.395	0.07445741
0.4	0.07464202
0.405	0.07480007
0.41	0.07495523
0.415	0.07508545
0.42	0.07522142
0.425	0.07544398
0.43	0.07553577
0.435	0.07549237
0.44	0.07534715
0.445	0.07518028
0.45	0.07493208
0.455	0.07468624
0.46	0.07446283
0.465	0.07423465
0.47	0.07402179
0.475	0.07366115
0.48	0.0732464
0.485	0.07280435
0.49	0.07237552
0.495	0.07203221
0.5	0.07166706
0.505	0.07130738
0.51	0.07101925
0.515	0.0708257
0.52	0.07058489
0.525	0.07034316
0.53	0.07008905
0.535	0.06966078
0.54	0.06918731
0.545	0.06871348
0.55	0.06825544
0.555	0.06788621
0.56	0.06753585
0.565	0.06721904
0.57	0.0668252
0.575	0.06636422
0.58	0.06576937
0.585	0.06522846
0.59	0.06469582
0.595	0.06416656
0.6	0.06360142
0.605	0.06306549
0.61	0.06254246
0.615	0.06201793
0.62	0.06150221
0.625	0.06098362
0.63	0.06036295
0.635	0.05983339
0.64	0.05939605
0.645	0.05900203
0.65	0.05862848
0.655	0.05828112
0.66	0.05793034
0.665	0.05753141
0.67	0.0571075
0.675	0.0566577
0.68	0.05630379
0.685	0.05601921
0.69	0.05571033
0.695	0.05542
0.7	0.05512479
0.705	0.05484259
0.71	0.0545357
0.715	0.05418072
0.72	0.05383602
0.725	0.0535226
0.73	0.05322833
0.735	0.05291772
0.74	0.05272498
0.745	0.05257798
0.75	0.05242728
0.755	0.0522572
0.76	0.05193872
0.765	0.05165516
0.77	0.05131931
0.775	0.05102324
0.78	0.05083898
0.785	0.05073289
0.79	0.05069698
0.795	0.05065759
0.8	0.05064951
0.805	0.05064533
0.81	0.05058457
0.815	0.05052112
0.82	0.05047016
0.825	0.05041077
0.83	0.05034952
0.835	0.05034925
0.84	0.05032085
0.845	0.05028943
0.85	0.05028449
0.855	0.05031635
0.86	0.05036816
0.865	0.0504272
0.87	0.05048966
0.875	0.05059881
0.88	0.0509883
0.885	0.05139831
0.89	0.05176397
0.895	0.05215764
0.9	0.05247831
0.905	0.05280421
0.91	0.05313555
0.915	0.05349205
0.92	0.05386635
0.925	0.05423446
0.93	0.05459727
0.935	0.05494538
0.94	0.05529263
0.945	0.05566931
0.95	0.05601778
0.955	0.05634343
0.96	0.05665786
0.965	0.05702081
0.97	0.05734126
0.975	0.05759463
0.98	0.05784841
0.985	0.05796391
0.99	0.05808437
0.995	0.05810624
1	0.05813238	#1 anya bl 1 
1.005	0.05815879
1.01	0.05820534
1.015	0.05829203
1.02	0.05842055
1.025	0.05853655
1.03	0.05868054
1.035	0.05879048
1.04	0.05894433
1.045	0.05913115
1.05	0.0593185
1.055	0.05952624
1.06	0.05970716
1.065	0.05989351
1.07	0.06006766
1.075	0.06031302
1.08	0.0605107
1.085	0.06030478
1.09	0.06006257
1.095	0.05978674
1.1	0.05952379
1.105	0.05924301
1.11	0.05897705
1.115	0.05869697
1.12	0.05839408
1.125	0.058092
1.13	0.05779229
1.135	0.05750213
1.14	0.05718287
1.145	0.05687606
1.15	0.05662032
1.155	0.05640022
1.16	0.05621601
1.165	0.05607207
1.17	0.05594076
1.175	0.05582771
1.18	0.05578169
1.185	0.05576208
1.19	0.05584718
1.195	0.05595352
1.2	0.05609674
1.205	0.05624844
1.21	0.05641938
1.215	0.05658255
1.22	0.05682407
1.225	0.0569862
1.23	0.05723062
1.235	0.05744859
1.24	0.0576935
1.245	0.05790563
1.25	0.05806376
1.255	0.05824608
1.26	0.05838985
1.265	0.05855672
1.27	0.05871414
1.275	0.05890564
