Interval=	0.0025 s
ExcelDateTime=	4.3516512530854234e+004	2/20/2019 12:18:02.665806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.2	15.525
0.2025	-16.8625
0.205	-38.16875
0.2075	-26.2625
0.21	11.20625
0.2125	42.20625
0.215	37.675
0.2175	-3.3875
0.22	-54.45
0.2225	-83.8125
0.225	-79.34375
0.2275	-54.4875
0.23	-34.625
0.2325	-37.06875
0.235	-62.69375
0.2375	-96.1125
0.24	-111.75
0.2425	-94.01875
0.245	-57.08125
0.2475	-35.15625
0.25	-47.1875
0.2525	-80.2125
0.255	-104.5437
0.2575	-98.5125
0.26	-63.3
0.2625	-22.6875
0.265	-4.69375
0.2675	-18.19375
0.27	-47.13125
0.2725	-64.3125
0.275	-52.59375
0.2775	-19.4125
0.28	8.00625
0.2825	6.18125
0.285	-25.575
0.2875	-64.3625
0.29	-81.25
0.2925	-64.83125
0.295	-30.31875
0.2975	-6.54375
0.3	-12.1
0.3025	-40.83125
0.305	-66.94375
0.3075	-66.66875
0.31	-37.7625
0.3125	-1.725
0.315	14.14375
0.3175	-0.65625
0.32	-32.0125
0.3225	-52.6
0.325	-44.54375
0.3275	-14.23125
0.33	12.5625
0.3325	13.13125
0.335	-12.95625
0.3375	-43.6875
0.34	-53.10625
0.3425	-33.0625
0.345	-0.125
0.3475	18.21875
0.35	7.56875
0.3525	-22.15
0.355	-46.3875
0.3575	-46.425
0.36	-22.45
0.3625	6.53125
0.365	17.2375
0.3675	1.15625
0.37	-28.1375
0.3725	-45.04375
0.375	-34.1875
0.3775	-4.80625
0.38	18.35
0.3825	17.3875
0.385	-6.93125
0.3875	-37.31875
0.39	-51.59375
0.3925	-39.2875
0.395	-11.45
0.3975	7.03125
0.4	-1.03125
0.4025	-29.84375
0.405	-55.28125
0.4075	-55.5375
0.41	-29.99375
0.4125	-0.24375
0.415	9.46875
0.4175	-6.95
0.42	-35.30625
0.4225	-53.44375
0.425	-46.71875
0.4275	-19.2375
0.43	7.21875
0.4325	10.71875
0.435	-11.725
0.4375	-40.50625
0.44	-50.73125
0.4425	-35.01875
0.445	-7.59375
0.4475	10
0.45	4.775
0.4525	-19.4375
0.455	-42.20625
0.4575	-42.84375
0.46	-22.58125
0.4625	-5.33125
0.465	-12.41875
0.4675	-42.91875
0.47	-78.65625
0.4725	-98.63125
0.475	-93.90625
0.4775	-75.3625
0.48	-66.66875
0.4825	-85.05
0.485	-126.2812
0.4875	-168.8375
0.49	-190.4125
0.4925	-181.0312
0.495	-152.675
0.4975	-135.3875
0.5	-146.4625
0.5025	-172.7375
0.505	-194.8437
0.5075	-204.325
0.51	NaN
0.5125	-204.7562
0.515	NaN
0.5175	-204.75
0.52	NaN
0.5225	NaN
0.525	NaN
0.5275	NaN
0.53	-204.7875
0.5325	NaN
0.535	NaN
0.5375	NaN
0.54	-204.0375
0.5425	-197.1937
0.545	-181.975
0.5475	-169.8187
0.55	-172.7937
0.5525	-186.3812
0.555	-197.4625
0.5575	-195.25
0.56	-174.725
0.5625	-146.2375
0.565	-132.1437
0.5675	-143.3875
0.57	-164.4375
0.5725	-167.4125
0.575	-141.4937
0.5775	-102.7375
0.58	-75.18125
0.5825	-70.975
0.585	-86.59375
0.5875	-106.5
0.59	-111.6625
0.5925	-93.875
0.595	-65.59375
0.5975	-50.4125
0.6	-60.39375
0.6025	-84.925
0.605	-100.6875
0.6075	-93.1875
0.61	-68.25
0.6125	-43.24375
0.615	-31.5
0.6175	-36.56875
0.62	-51.31875
0.6225	-60.63125
0.625	-54.35
0.6275	-37.40625
0.63	-24.375
0.6325	-26.6375
0.635	-44.55625
0.6375	-65.8125
0.64	-72.21875
0.6425	-53.6875
0.645	-19.70625
0.6475	5.78125
0.65	6.30625
0.6525	-11.975
0.655	-26.46875
0.6575	-18.6875
0.66	9.46875
0.6625	38.2125
0.665	49.08125
0.6675	39.83125
0.67	22.8
0.6725	14.6875
0.675	24.75625
0.6775	46.71875
0.68	62.5375
0.6825	59.2625
0.685	40.55
0.6875	21.81875
0.69	16.84375
0.6925	28.51875
0.695	48.28125
0.6975	60.1375
0.7	50.63125
0.7025	23.14375
0.705	-0.1125
0.7075	1.9
0.71	28.03125
0.7125	56.625
0.715	65.3
0.7175	47.50625
0.72	16.3625
0.7225	-4.3125
0.725	2.0625
0.7275	31.84375
0.73	63.83125
0.7325	76.6375
0.735	66.375
0.7375	48.3125
0.74	41.05
0.7425	49.49375
0.745	61.7125
0.7475	61.55
0.75	44.25
0.7525	20.10625
0.755	6.19375
0.7575	14.2125
0.76	42.7375
0.7625	76.3625
0.765	94.725
0.7675	89.95625
0.77	74.84375
0.7725	68.7125
0.775	76.24375
0.7775	85.30625
0.78	82.01875
0.7825	62.50625
0.785	33.35
0.7875	8.96875
0.79	4.19375
0.7925	21.60625
0.795	47.2625
0.7975	62.3625
0.8	58.4375
0.8025	40.7875
0.805	25.1
0.8075	27.86875
0.81	51.30625
0.8125	77.65625
0.815	85.375
0.8175	69.475
0.82	43.76875
0.8225	28.9
0.825	36.55
0.8275	59.8625
0.83	78.89375
0.8325	77.66875
0.835	55.65625
0.8375	28.70625
0.84	19.65625
0.8425	37.65625
0.845	65.98125
0.8475	78.1875
0.85	64.4375
0.8525	36.6625
0.855	14.9125
0.8575	12.9125
0.86	29.63125
0.8625	50.61875
0.865	60.65
0.8675	55.33125
0.87	43.175
0.8725	39.35
0.875	53.11875
0.8775	78.475
0.88	97.31875
0.8825	94.35625
0.885	70.14375
