Interval=	0.0025 s
ExcelDateTime=	4.3516510790784792e+004	2/20/2019 12:15:32.323806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.05	29.73125
0.0525	67.93125
0.055	96.91875
0.0575	94.71875
0.06	64.96875
0.0625	31.50625
0.065	20.79375
0.0675	40.8375
0.07	74.95
0.0725	94.3
0.075	79.95
0.0775	40.96875
0.08	10.44375
0.0825	14.15625
0.085	47.10625
0.0875	80.31875
0.09	85.01875
0.0925	56.44375
0.095	17.33125
0.0975	-2.16875
0.1	11.75
0.1025	46.11875
0.105	72.48125
0.1075	72.0375
0.11	47.325
0.1125	16.525
0.115	3.55
0.1175	20.50625
0.12	52.55
0.1225	71.50625
0.125	62.1375
0.1275	32.21875
0.13	6.25625
0.1325	6.56875
0.135	33.50625
0.1375	64.9625
0.14	75.05
0.1425	54.55
0.145	19.60625
0.1475	-1
0.15	10.90625
0.1525	48.0875
0.155	80.43125
0.1575	80.10625
0.16	47.95625
0.1625	12.3125
0.165	2.44375
0.1675	24.3125
0.17	56.78125
0.1725	70.6125
0.175	52.61875
0.1775	14.2
0.18	-17.05
0.1825	-17.75625
0.185	12.2625
0.1875	47.86875
0.19	60.06875
0.1925	39.7875
0.195	4.06875
0.1975	-17.475
0.2	-6.7875
0.2025	26.5375
0.205	52.70625
0.2075	49.60625
0.21	20.76875
0.2125	-9.14375
0.215	-14.025
0.2175	11.71875
0.22	46.5
0.2225	60.58125
0.225	43.5875
0.2275	10.75625
0.23	-11.5
0.2325	-5.26875
0.235	25.9
0.2375	58.1125
0.24	66.1
0.2425	44.0375
0.245	9.625
0.2475	-9.99375
0.25	0.50625
0.2525	31.06875
0.255	54.75625
0.2575	53.0125
0.26	29.29375
0.2625	2.55
0.265	-7.26875
0.2675	7.4625
0.27	33.48125
0.2725	47.45625
0.275	38.275
0.2775	14.3375
0.28	-4.4625
0.2825	-2.15
0.285	20.39375
0.2875	43.875
0.29	46.1125
0.2925	23.0125
0.295	-6.6375
0.2975	-19.21875
0.3	-6.63125
0.3025	20.56875
0.305	40.43125
0.3075	35.775
0.31	9.1125
0.3125	-17.7875
0.315	-22.80625
0.3175	-3.86875
0.32	18.8125
0.3225	21.575
0.325	-1.0625
0.3275	-32.825
0.33	-49.7375
0.3325	-38.75625
0.335	-6.1875
0.3375	24.76875
