Interval=	0.0025 s
ExcelDateTime=	4.6071577265787841e+004	2/18/2026 13:51:15.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
270	-8.29375
270.0025	-7.675
270.005	-6.225
270.0075	-3.69375
270.01	-0.70625
270.0125	-0.03125
270.015	-4.4
270.0175	-12.45
270.02	-19.60625
270.0225	-22.15
270.025	-19.79375
270.0275	-15.4875
270.03	-12.21875
270.0325	-10.79375
270.035	-10.5125
270.0375	-10.70625
270.04	-10.5125
270.0425	-9.2625
270.045	-8.06875
270.0475	-8.19375
270.05	-8.425
270.0525	-7.83125
270.055	-7.78125
270.0575	-7.74375
270.06	-5.5
270.0625	-2.54375
270.065	-2.39375
270.0675	-4.81875
270.07	-7.3375
270.0725	-9.9125
270.075	-13.63125
270.0775	-17.35
270.08	-19.125
270.0825	-19.45625
270.085	-20.45625
270.0875	-21.96875
270.09	-21.34375
270.0925	-17.81875
270.095	-14.01875
270.0975	-12.11875
270.1	-11.175
270.1025	-9.775
270.105	-8.8
270.1075	-9.325
270.11	-10.025
270.1125	-10.1
270.115	-11.6
270.1175	-15.2625
270.12	-18.1125
270.1225	-17.125
270.125	-12.7875
270.1275	-8.50625
270.13	-6.3875
270.1325	-6.49375
270.135	-8.55
270.1375	-11.7875
270.14	-13.51875
270.1425	-11.28125
270.145	-6.8375
270.1475	-4.2
270.15	-4.475
270.1525	-5.33125
270.155	-5.04375
270.1575	-4.0375
270.16	-3.925
270.1625	-4.80625
270.165	-4.8
270.1675	-3.94375
270.17	-4.525
270.1725	-7.575
270.175	-11.20625
270.1775	-12.69375
270.18	-11.2875
270.1825	-8.63125
270.185	-6.90625
270.1875	-6.48125
270.19	-6.10625
270.1925	-4.8
270.195	-2.93125
270.1975	-1.325
270.2	-0.6
270.2025	-1.1875
270.205	-2.2625
270.2075	-2.10625
270.21	-0.11875
270.2125	2.50625
270.215	3.425
270.2175	0.79375
270.22	-4.11875
270.2225	-7.675
270.225	-7.7375
270.2275	-4.88125
270.23	-1.2625
270.2325	1.025
270.235	2.11875
270.2375	3.1625
270.24	3.9375
270.2425	3.3625
270.245	0.6125
270.2475	-3.6375
270.25	-6.8625
270.2525	-7.45625
270.255	-6.86875
270.2575	-7.11875
270.26	-7.64375
270.2625	-6.74375
270.265	-5.0875
270.2675	-4.9125
270.27	-5.4125
270.2725	-3.6625
270.275	0.4375
270.2775	4.34375
270.28	5.28125
270.2825	2.21875
270.285	-2.2625
270.2875	-4.23125
270.29	-2.89375
270.2925	0.24375
270.295	3.26875
270.2975	4.39375
270.3	3.6125
270.3025	2.4
270.305	1.825
270.3075	2.70625
270.31	6.2
270.3125	11.5625
270.315	15.5625
270.3175	15.4625
270.32	12.0125
270.3225	8.025
270.325	6.15625
270.3275	7.8625
270.33	11.5875
270.3325	12.93125
270.335	8.56875
270.3375	0.36875
270.34	-6.45
270.3425	-8.45625
270.345	-6.11875
270.3475	-2.55
270.35	-1.14375
270.3525	-2.2125
270.355	-3.49375
270.3575	-3.2375
270.36	-1.21875
270.3625	1.49375
270.365	2.94375
270.3675	2.4625
270.37	1.75625
270.3725	2.1375
270.375	3.75
270.3775	6.81875
270.38	10.825
270.3825	13.16875
270.385	11.65
270.3875	7.63125
270.39	4.76875
270.3925	5.16875
270.395	7.2
270.3975	8.09375
270.4	7.35
270.4025	6.8125
270.405	7.7375
270.4075	8.80625
270.41	7.94375
270.4125	5.2125
270.415	2.4
270.4175	0.425
270.42	-0.76875
270.4225	-0.83125
270.425	0.14375
270.4275	1.04375
270.43	1.2
270.4325	0.88125
270.435	0.4125
270.4375	-0.13125
270.44	-0.75
270.4425	-1.34375
270.445	-2.1
270.4475	-3.725
270.45	-5.81875
270.4525	-6.4375
270.455	-4.46875
270.4575	-0.8125
270.46	2.55
270.4625	4.0375
270.465	3.35625
270.4675	1.06875
270.47	-2.4375
270.4725	-5.20625
270.475	-3.7625
270.4775	1.6125
270.48	6.55
270.4825	8.53125
270.485	8.2375
270.4875	6.61875
270.49	5.03125
270.4925	5.70625
270.495	9.3875
270.4975	13.33125
270.5	13.4375
270.5025	10.05
270.505	7.39375
270.5075	7.15
270.51	7.39375
270.5125	6.58125
270.515	4.6625
270.5175	1.75
270.52	-1.83125
270.5225	-3.65
