Interval=	0.0025 s
ExcelDateTime=	4.6071576883843394e+004	2/18/2026 13:50:42.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
237	-10.35
237.0025	-11.53125
237.005	-8.3625
237.0075	-1.85625
237.01	4.30625
237.0125	7.25
237.015	8.19375
237.0175	10.0375
237.02	13.575
237.0225	18.2
237.025	23.16875
237.0275	26.675
237.03	26.8625
237.0325	23.5625
237.035	18.85625
237.0375	16.3875
237.04	17.4625
237.0425	19.775
237.045	20.79375
237.0475	19.43125
237.05	15.8
237.0525	11.73125
237.055	9.0875
237.0575	6.98125
237.06	3.88125
237.0625	0.35625
237.065	-1.975
237.0675	-2.43125
237.07	-1.10625
237.0725	1.24375
237.075	2.85625
237.0775	2.425
237.08	0.31875
237.0825	-1.91875
237.085	-2.80625
237.0875	-1.825
237.09	-0.0875
237.0925	0.6875
237.095	-0.25
237.0975	-2.44375
237.1	-4.675
237.1025	-4.79375
237.105	-0.99375
237.1075	5.75
237.11	12.3
237.1125	16.0625
237.115	15.7375
237.1175	11.8875
237.12	8.025
237.1225	7.71875
237.125	10.20625
237.1275	11.66875
237.13	9.60625
237.1325	4.95625
237.135	0.51875
237.1375	-2.2125
237.14	-4.3125
237.1425	-6.9375
237.145	-9.81875
237.1475	-12.43125
237.15	-14.25
237.1525	-14.14375
237.155	-12.21875
237.1575	-10.3375
237.16	-10.075
237.1625	-11.8375
237.165	-14.9
237.1675	-17.25625
237.17	-16.85625
237.1725	-13.95
237.175	-11.35
237.1775	-12.3375
237.18	-17.01875
237.1825	-21.675
237.185	-23.1375
237.1875	-21.4875
237.19	-18
237.1925	-13.79375
237.195	-10.04375
237.1975	-7.24375
237.2	-4.9
237.2025	-2.125
237.205	0.825
237.2075	2.65
237.21	3.39375
237.2125	4.975
237.215	7.90625
237.2175	10.53125
237.22	11.46875
237.2225	9.90625
237.225	4.7375
237.2275	-3.6125
237.23	-11.9875
237.2325	-18.1
237.235	-22.6
237.2375	-26.34375
237.24	-29.4
237.2425	-32.3
237.245	-35.16875
237.2475	-37.13125
237.25	-37.45625
237.2525	-35.93125
237.255	-32.93125
237.2575	-29.38125
237.26	-26.21875
237.2625	-24.4375
237.265	-24.5
237.2675	-25.2875
237.27	-24.8625
237.2725	-22.05
237.275	-16.85
237.2775	-10.35625
237.28	-5.0375
237.2825	-3.11875
237.285	-3.7375
237.2875	-4.25
237.29	-4.08125
237.2925	-4.08125
237.295	-3.85625
237.2975	-2.65625
237.3	-0.93125
237.3025	0.425
237.305	1.66875
237.3075	3.3875
237.31	3.96875
237.3125	0.6875
237.315	-6.1625
237.3175	-13.0375
237.32	-17.1
237.3225	-17.74375
237.325	-16.28125
237.3275	-15.8875
237.33	-18.54375
237.3325	-22.5125
237.335	-25.3125
237.3375	-27.03125
237.34	-28.98125
237.3425	-31.5125
237.345	-34.075
237.3475	-36.39375
237.35	-38.45
237.3525	-38.9875
237.355	-36.7625
237.3575	-33.325
237.36	-31.36875
237.3625	-30.74375
237.365	-29.0375
237.3675	-25.15
237.37	-20.0875
237.3725	-15.83125
237.375	-14.26875
237.3775	-15.08125
237.38	-16.1875
237.3825	-16.925
237.385	-17.21875
237.3875	-15.25625
237.39	-10.78125
237.3925	-7.50625
237.395	-8.06875
237.3975	-10.575
237.4	-11.625
237.4025	-8.74375
237.405	-1.9125
237.4075	4.95625
237.41	7.60625
237.4125	5.4125
237.415	0.00625
237.4175	-6.59375
237.42	-12.21875
237.4225	-15.31875
237.425	-15.8125
237.4275	-15.01875
237.43	-14.98125
237.4325	-17.1125
