Interval=	0.005 s
ExcelDateTime=	4.6085571766246088e+004	3/4/2026 13:43:20.603662
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMS Biceps
Range=	0.18 mV
9.9	0.2095214
9.905	0.209165
9.91	0.2089107
9.915	0.2087071
9.92	0.2086905
9.925	0.2085831
9.93	0.2084628
9.935	0.2081634
9.94	0.2081445
9.945	0.2081375
9.95	0.2086159
9.955	0.2090987
9.96	0.2099686
9.965	0.2109451
9.97	0.2117356
9.975	0.2124919
9.98	0.2134115
9.985	0.2141729
9.99	0.2150065
9.995	0.2156628
10	0.2163976
10.005	0.2171384
10.01	0.2178371
10.015	0.2183695
10.02	0.2187647
10.025	0.2191353
10.03	0.2194924
10.035	0.2198351
10.04	0.220016
10.045	0.2198655
10.05	0.219592
10.055	0.2193359
10.06	0.2189162
10.065	0.2183503
10.07	0.2174872
10.075	0.2165774
10.08	0.2156346
10.085	0.2144974
10.09	0.2135323
10.095	0.2125137
10.1	0.2115068
10.105	0.2104896
10.11	0.2095193
10.115	0.2084655
10.12	0.2072987
10.125	0.2061882
10.13	0.2050341
10.135	0.2038609
10.14	0.2027762
10.145	0.2012087
10.15	0.1998068
10.155	0.1976469
10.16	0.1956042
10.165	0.1934311
10.17	0.1910345
10.175	0.1887095
10.18	0.1863391
10.185	0.1840074
10.19	0.1817543
10.195	0.1795139
10.2	0.1773427
10.205	0.1751994
10.21	0.1729925
10.215	0.1707983
10.22	0.1687326
10.225	0.1668088
10.23	0.164732
10.235	0.1626448
10.24	0.1605481
10.245	0.1585937
10.25	0.156943
10.255	0.1554746
10.26	0.1539813
10.265	0.1528397
10.27	0.1520069
10.275	0.1513828
10.28	0.1507575
10.285	0.1501358
10.29	0.1496168
10.295	0.1488968
10.3	0.1482634
10.305	0.1475612
10.31	0.1468423
10.315	0.1461237
10.32	0.145457
10.325	0.1451123
10.33	0.1448646
10.335	0.1449538
10.34	0.145086
10.345	0.1452214
10.35	0.1455344
10.355	0.145373
10.36	0.1455843
10.365	0.1453624
10.37	0.1452537
10.375	0.1452853
10.38	0.1453626
10.385	0.1455097
10.39	0.1456806
10.395	0.1457968
10.4	0.1459772
10.405	0.1462113
10.41	0.1463144
10.415	0.1465067
10.42	0.1466781
10.425	0.14696
10.43	0.1472195
10.435	0.147909
10.44	0.1485097
10.445	0.1495552
10.45	0.1506262
10.455	0.1523154
10.46	0.1540985
10.465	0.1560852
10.47	0.1577876
10.475	0.1592079
10.48	0.1606139
10.485	0.1620378
10.49	0.1634737
10.495	0.1649206
10.5	0.1665208
10.505	0.1680214
10.51	0.1695442
10.515	0.1711833
10.52	0.1728513
10.525	0.1745638
10.53	0.1758899
10.535	0.1770959
10.54	0.1779559
10.545	0.1788262
10.55	0.1797116
10.555	0.1806873
10.56	0.1819074
10.565	0.1832863
10.57	0.1848523
10.575	0.1868754
10.58	0.1888643
10.585	0.1910932
10.59	0.193272
10.595	0.1954236
10.6	0.1975717
10.605	0.1997719
10.61	0.2018917
10.615	0.2040563
10.62	0.2061476
10.625	0.2083093
10.63	0.21019
10.635	0.2120823
10.64	0.2134479
10.645	0.2148857
10.65	0.2158591
10.655	0.2167568
10.66	0.2168457
10.665	0.216796
10.67	0.2164422
10.675	0.2163442
10.68	0.2162218
10.685	0.2161973
10.69	0.2161344
10.695	0.216073
10.7	0.2160225
10.705	0.2159901
10.71	0.2162837
10.715	0.2165813
10.72	0.2168994
10.725	0.2171662
10.73	0.2173933
10.735	0.2181252
10.74	0.2189367
10.745	0.2198688
10.75	0.2207991
10.755	0.2217807
10.76	0.2227261
10.765	0.2236368
10.77	0.224483
10.775	0.2253052
10.78	0.225356
10.785	0.2254094
10.79	0.2249445
10.795	0.2244527
10.8	0.2238199
10.805	0.2233132
10.81	0.2225354
10.815	0.2217988
10.82	0.2211701
10.825	0.2205541
10.83	0.2198092
10.835	0.2192496
10.84	0.2186642
10.845	0.2183614
10.85	0.2181088
10.855	0.218081
10.86	0.2181886
10.865	0.2186988
10.87	0.2192199
10.875	0.2199116
10.88	0.2202884
10.885	0.2210716
10.89	0.221666
10.895	0.2227822
10.9	0.2240037
10.905	0.2253083
10.91	0.2265757
10.915	0.2273725
10.92	0.2282275
10.925	0.2287703
10.93	0.2293332
10.935	0.2298596
10.94	0.2297078
10.945	0.2294291	#1 JL BL1 (use) 
10.95	0.229113
10.955	0.2287789
10.96	0.2282938
10.965	0.2278829
10.97	0.2274543
10.975	0.2270096
10.98	0.2265677
10.985	0.2265138
10.99	0.2264643
10.995	0.2266714
11	0.2270038
11.005	0.2274383
11.01	0.2279308
11.015	0.2285783
11.02	0.2291749
11.025	0.2295042
11.03	0.2297977
11.035	0.2300969
11.04	0.2303892
11.045	0.2306925
11.05	0.2310381
11.055	0.2312009
11.06	0.231343
11.065	0.231325
11.07	0.2314096
11.075	0.231538
11.08	0.2316047
11.085	0.2318999
11.09	0.2315706
11.095	0.2313446
11.1	0.2301752
11.105	0.2288118
11.11	0.2272338
11.115	0.2254146
11.12	0.2236511
11.125	0.2217322
11.13	0.2200065
11.135	0.2185374
11.14	0.2170598
11.145	0.2160933
11.15	0.215211
11.155	0.2143027
11.16	0.2134065
11.165	0.2128788
11.17	0.2122983
11.175	0.2117387
11.18	0.211314
11.185	0.2109278
11.19	0.2105247
11.195	0.2103237
11.2	0.210276
11.205	0.2101203
11.21	0.210107
11.215	0.2095658
11.22	0.2091045
11.225	0.2086558
11.23	0.2083926
11.235	0.2086333
11.24	0.2091085
11.245	0.2098815
11.25	0.2106519
11.255	0.21128
11.26	0.2120043
11.265	0.2126316
11.27	0.2135356
11.275	0.2144647
11.28	0.2155651
11.285	0.2169096
11.29	0.2180483
11.295	0.2195331
11.3	0.2210401
11.305	0.2230555
11.31	0.2251265
11.315	0.2273482
11.32	0.2297552
11.325	0.2322457
11.33	0.2347974
11.335	0.2375781
11.34	0.2399266
11.345	0.2423629
11.35	0.2448001
11.355	0.2472277
11.36	0.2496755
11.365	0.2521058
11.37	0.2540348
11.375	0.2558798
11.38	0.2576161
11.385	0.2591351
11.39	0.2606052
11.395	0.2620783
11.4	0.2633549
11.405	0.2644229
11.41	0.2654208
11.415	0.2661872
11.42	0.2672406
11.425	0.2681564
11.43	0.2690805
11.435	0.2699705
11.44	0.2704233
11.445	0.2705828
11.45	0.2702744
11.455	0.2700029
11.46	0.2697858
11.465	0.2696148
11.47	0.2695215
11.475	0.2691394
11.48	0.2685083
11.485	0.2676277
11.49	0.2664183
11.495	0.2653215
11.5	0.2641913
11.505	0.2630022
11.51	0.2617397
11.515	0.2604926
11.52	0.259102
11.525	0.2576641
11.53	0.2562394
11.535	0.2547955
11.54	0.2528611
11.545	0.251097
11.55	0.249209
11.555	0.2468177
11.56	0.2443627
11.565	0.2419238
11.57	0.2394569
11.575	0.237293
11.58	0.2352008
11.585	0.2332011
11.59	0.2312842
11.595	0.229349
11.6	0.2273768
11.605	0.2252497
11.61	0.2231758
11.615	0.2211961
11.62	0.219352
11.625	0.21747
11.63	0.2156564
11.635	0.2138268
11.64	0.212089
11.645	0.210079
11.65	0.2083526
11.655	0.2066395
11.66	0.2048442
11.665	0.2031039
11.67	0.2012493
11.675	0.199368
11.68	0.1975922
11.685	0.1959457
11.69	0.1944403
11.695	0.1931227
11.7	0.1918401
11.705	0.1905911
11.71	0.1894031
11.715	0.1883418
11.72	0.1872098
11.725	0.1861806
11.73	0.1852794
11.735	0.1843227
11.74	0.183468
11.745	0.1829722
11.75	0.1821494
11.755	0.1813232
11.76	0.1809524
11.765	0.180609
11.77	0.180158
11.775	0.1797099
11.78	0.179062
11.785	0.1783721
11.79	0.1777162
11.795	0.1771615
11.8	0.1768634
11.805	0.1765818
11.81	0.1767517
11.815	0.1769762
11.82	0.1770871
11.825	0.1771726
11.83	0.1771794
11.835	0.1772306
11.84	0.1774128
11.845	0.177488
11.85	0.1779775
11.855	0.1787177
11.86	0.1797962
11.865	0.1808551
11.87	0.1818104
11.875	0.1828837
11.88	0.1839971
11.885	0.1851378
11.89	0.1863074
11.895	0.1873819
11.9	0.1884597
11.905	0.1894836
11.91	0.1906762
11.915	0.1919446
11.92	0.1932474
11.925	0.1945694
11.93	0.195877
11.935	0.1972444
11.94	0.1986662
11.945	0.2000849
11.95	0.2014967
11.955	0.2032262
11.96	0.205072
11.965	0.20687
11.97	0.2086472
11.975	0.21061
11.98	0.2125285
11.985	0.2146951
11.99	0.2168253
11.995	0.218802
12	0.2206402
12.005	0.2220938
12.01	0.2235513
12.015	0.2246193
12.02	0.2256605
12.025	0.2267448
12.03	0.227821
12.035	0.2290909
12.04	0.2302806
12.045	0.2313656
12.05	0.2323807
12.055	0.2333706
12.06	0.2338452
12.065	0.2342157
12.07	0.2350546
12.075	0.2358725
12.08	0.2366902
12.085	0.2374397
12.09	0.2383373
12.095	0.2391954
12.1	0.2403034
12.105	0.2413997
12.11	0.2423272
12.115	0.2428985
12.12	0.2432293
12.125	0.2434949
12.13	0.2438983
12.135	0.2444511
12.14	0.244777
12.145	0.245059
12.15	0.2451067
12.155	0.245075
12.16	0.2448946
12.165	0.2445194
12.17	0.2442292
12.175	0.2439414
12.18	0.2434456
12.185	0.2429741
12.19	0.2421973
12.195	0.2415035
12.2	0.2410398
12.205	0.2408809
12.21	0.2408781
12.215	0.2408606
12.22	0.2410357
12.225	0.2412238
12.23	0.2414065
12.235	0.2416164
12.24	0.2415396
12.245	0.2415274
12.25	0.2414317
12.255	0.241337
12.26	0.2416181
12.265	0.2419315
12.27	0.242398
12.275	0.2421112
12.28	0.2418958
12.285	0.2415236
12.29	0.2411983
12.295	0.2406067
12.3	0.2401
12.305	0.2392055
12.31	0.2383658
12.315	0.237688
12.32	0.2372132
12.325	0.2368512
12.33	0.2362564
12.335	0.2354189
12.34	0.2342759
12.345	0.233057
12.35	0.2318307
12.355	0.2306506
12.36	0.2295592
12.365	0.2285269
12.37	0.2276049
12.375	0.2264812
12.38	0.2253549
12.385	0.2242278
12.39	0.2230946
12.395	0.2221966
12.4	0.2211835
12.405	0.2198178
12.41	0.2178844
12.415	0.2159424
12.42	0.2139767
12.425	0.2119865
12.43	0.2100559
12.435	0.2081143
12.44	0.2061513
12.445	0.2043581
12.45	0.202488
12.455	0.2007052
12.46	0.1990485
12.465	0.1965647
12.47	0.1943216
12.475	0.1917952
12.48	0.1895457
12.485	0.1872353
12.49	0.1851541
12.495	0.183104
12.5	0.1814652
12.505	0.1797082
12.51	0.1783889
12.515	0.1769371
12.52	0.1754017
12.525	0.1738905
12.53	0.1724153
12.535	0.1712031
12.54	0.170115
12.545	0.1692567
12.55	0.1686275
12.555	0.168173
12.56	0.1678565
12.565	0.1677023
12.57	0.1676628
12.575	0.1676587
12.58	0.167903
12.585	0.1681825
12.59	0.1686572
12.595	0.1697466
12.6	0.1708837
12.605	0.1723767
12.61	0.1740445
12.615	0.1760584
12.62	0.1781297
12.625	0.1803715
12.63	0.182552
12.635	0.1848622
12.64	0.1871384
12.645	0.1895356
12.65	0.1918678
12.655	0.1942076
12.66	0.1964911
12.665	0.1985926
12.67	0.200973
12.675	0.2034972
12.68	0.2060777
12.685	0.2089898
12.69	0.2118484
12.695	0.2144537
12.7	0.216906
12.705	0.2189306
12.71	0.2209513
12.715	0.2226355
12.72	0.2244126
12.725	0.2262183
12.73	0.228179
12.735	0.2301109
12.74	0.2320259
12.745	0.2339808
12.75	0.2359556
12.755	0.2378976
12.76	0.2395755
12.765	0.241263
12.77	0.242616
12.775	0.2438605
12.78	0.2450677
12.785	0.2462077
12.79	0.2472961
12.795	0.24823
12.8	0.2482724
12.805	0.2480199
12.81	0.2473271
12.815	0.2466826
12.82	0.2461
12.825	0.2454558
12.83	0.2445539
12.835	0.2437794
12.84	0.2425501
12.845	0.2413373
12.85	0.2398869
12.855	0.2384723
12.86	0.2370435
12.865	0.2356333
12.87	0.2342955
12.875	0.2330275
12.88	0.2313039
12.885	0.2295919
12.89	0.2274523
12.895	0.2253477
12.9	0.2235332
12.905	0.2218646
12.91	0.2203832
12.915	0.2190378
12.92	0.2178489
12.925	0.2167337
12.93	0.2155799
12.935	0.2139333
12.94	0.2122316
12.945	0.2105444
12.95	0.2087193
12.955	0.2067355
12.96	0.2047721
12.965	0.2029439
12.97	0.2010468
12.975	0.199366
12.98	0.1976539
12.985	0.1959684
12.99	0.1941949
12.995	0.1924372
13	0.1907318
13.005	0.1897478
13.01	0.1890114
13.015	0.1885859
13.02	0.1881064
13.025	0.1874389
13.03	0.186803
13.035	0.1863515
13.04	0.1856177
13.045	0.1852424
13.05	0.1848342
13.055	0.1844789
13.06	0.1840959
13.065	0.1837696
13.07	0.1834174
13.075	0.1830335
13.08	0.182701
13.085	0.1827011
13.09	0.1831885
13.095	0.1837538
13.1	0.18442
13.105	0.1846311
13.11	0.1845372
13.115	0.1843855
13.12	0.1840154
13.125	0.1836438
13.13	0.1828623
13.135	0.1820905
13.14	0.1816479
13.145	0.1812731
13.15	0.1809845
13.155	0.1808988
13.16	0.1809196
13.165	0.1809105
13.17	0.1810191
13.175	0.1813277
13.18	0.1816923
13.185	0.1821344
13.19	0.1827684
13.195	0.1836663
13.2	0.1846012
13.205	0.1858259
13.21	0.186842
13.215	0.187951
13.22	0.1889876
13.225	0.1900695
13.23	0.1913017
13.235	0.1924061
13.24	0.1940168
13.245	0.1961566
13.25	0.1986245
13.255	0.201617
13.26	0.2046149
13.265	0.2075354
13.27	0.2102961
13.275	0.2130397
13.28	0.2158039
13.285	0.2184457
13.29	0.2211398
13.295	0.2230922
13.3	0.225434
13.305	0.2274534
13.31	0.2296198
13.315	0.2320326
13.32	0.2344707
13.325	0.236872
13.33	0.2394508
13.335	0.2422138
13.34	0.2449505
13.345	0.2476989
13.35	0.2504685
13.355	0.2530593
13.36	0.2557728
13.365	0.2584498
13.37	0.2617303
13.375	0.2649207
13.38	0.2682219
13.385	0.2713976
13.39	0.274671
13.395	0.2776221
13.4	0.2810436
13.405	0.284364
13.41	0.2876627
13.415	0.291064
13.42	0.2944093
13.425	0.2977453
13.43	0.3009773
13.435	0.3042152
13.44	0.3075554
13.445	0.3106626
13.45	0.313202
13.455	0.3156929
13.46	0.317496
13.465	0.3193255
13.47	0.3211411
13.475	0.3235398
13.48	0.3259289
13.485	0.3284038
13.49	0.3310281
13.495	0.3335157
13.5	0.3361233
13.505	0.3383095
13.51	0.3405645
13.515	0.342828
13.52	0.345284
13.525	0.34774
13.53	0.3503258
13.535	0.3526193
13.54	0.3548518
13.545	0.3570771
13.55	0.3592936
13.555	0.3614141
13.56	0.3637628
13.565	0.3660976
13.57	0.3685137
13.575	0.3705852
13.58	0.3726239
13.585	0.3742457
13.59	0.3777818
13.595	0.381069
13.6	0.3856526
13.605	0.389385
13.61	0.3931274
13.615	0.3989323
13.62	0.4045731
13.625	0.4124822
13.63	0.4204168
13.635	0.4292663
13.64	0.4383241
13.645	0.4475669
13.65	0.456448
13.655	0.4657719
13.66	0.4745143
13.665	0.483345
13.67	0.492025
13.675	0.5013258
13.68	0.5102041
13.685	0.5213111
13.69	0.5332313
13.695	0.5446825
13.7	0.5559282
13.705	0.5672624
13.71	0.5789307
13.715	0.5904296
13.72	0.601828
13.725	0.6126456
13.73	0.6235751
13.735	0.6342263
13.74	0.6448981
13.745	0.6554119
13.75	0.6670401
13.755	0.6785715
13.76	0.6900521
13.765	0.7012795
13.77	0.7124306
13.775	0.7233112
13.78	0.734202
13.785	0.7449626
13.79	0.7556538
13.795	0.7644452
13.8	0.7742425
13.805	0.7828158
13.81	0.7927236
13.815	0.8028798
13.82	0.8110071
13.825	0.8191242
13.83	0.8248049
13.835	0.8303009
13.84	0.8353176
13.845	0.8399097
13.85	0.8440666
13.855	0.8481905
13.86	0.8518283
13.865	0.8555834
13.87	0.8593792
13.875	0.8631277
13.88	0.8660508
13.885	0.8686503
13.89	0.8683799
13.895	0.866675
13.9	0.8652789
13.905	0.8641985
13.91	0.8628369
13.915	0.861009
13.92	0.8591137
13.925	0.8571525
13.93	0.8553377
13.935	0.8531645
13.94	0.8510362
13.945	0.8487851
13.95	0.8468976
13.955	0.8429895
13.96	0.839729
13.965	0.8362549
13.97	0.8326679
13.975	0.8285819
13.98	0.8246504
13.985	0.820209
13.99	0.8158754
13.995	0.8115262
14	0.807802
14.005	0.8021088
14.01	0.796755
14.015	0.7887526
14.02	0.7799592
14.025	0.7714895
14.03	0.7627434
14.035	0.7551868
14.04	0.7475804
14.045	0.7391114
14.05	0.7306067
14.055	0.722206
14.06	0.7136937
14.065	0.70536
14.07	0.6969565
14.075	0.6882323
14.08	0.6794359
14.085	0.6709547
14.09	0.6627719
14.095	0.6563984
14.1	0.6509394
14.105	0.6448007
14.11	0.6377423
14.115	0.6306338
14.12	0.6235132
14.125	0.616357
14.13	0.6088794
14.135	0.6013343
14.14	0.5937174
14.145	0.5858996
14.15	0.5779602
14.155	0.5688231
14.16	0.5610223
14.165	0.5505704
14.17	0.5400623
14.175	0.5293919
14.18	0.5190303
14.185	0.5080178
14.19	0.4969235
14.195	0.4850984
14.2	0.4730148
14.205	0.4608371
14.21	0.4499103
14.215	0.4389497
14.22	0.4301977
14.225	0.4216745
14.23	0.4137769
14.235	0.4059227
14.24	0.3977981
14.245	0.3895777
14.25	0.3825532
14.255	0.375645
14.26	0.3685376
14.265	0.3614144
14.27	0.3541593
14.275	0.3466913
14.28	0.3395002
14.285	0.3321001
14.29	0.3245281
14.295	0.316489
14.3	0.3082048
14.305	0.2997178
14.31	0.2917415
14.315	0.2845049
14.32	0.2773236
14.325	0.2703201
14.33	0.2631093
14.335	0.2561435
14.34	0.2488509
14.345	0.2416493
14.35	0.234401
14.355	0.2269361
14.36	0.2207368
14.365	0.2144292
14.37	0.2116573
14.375	0.2088693
14.38	0.2061207
14.385	0.2033155
14.39	0.2010339
14.395	0.1994933
14.4	0.1980903
14.405	0.1967286
14.41	0.195337
14.415	0.194299
14.42	0.1931298
14.425	0.1919455
14.43	0.1911339
14.435	0.1907678
14.44	0.190493
14.445	0.1905521
