Interval=	0.005 s
ExcelDateTime=	4.6085600658728836e+004	3/4/2026 14:24:56.914171
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMS Biceps
Range=	0.18 mV
8.6	0.2550461
8.605	0.2527169
8.61	0.2508628
8.615	0.2489873
8.62	0.2470344
8.625	0.2451964
8.63	0.2435566
8.635	0.2420482
8.64	0.2408075
8.645	0.2399146
8.65	0.239082
8.655	0.2382483
8.66	0.2376584
8.665	0.2374828
8.67	0.2374934
8.675	0.2377425
8.68	0.2378027
8.685	0.2379732
8.69	0.2382592
8.695	0.2385104
8.7	0.2385886
8.705	0.2388528
8.71	0.2392265
8.715	0.2396234
8.72	0.2399294
8.725	0.2407415
8.73	0.2416429
8.735	0.2430156
8.74	0.2444718
8.745	0.2459454
8.75	0.247412
8.755	0.2490204
8.76	0.2502843
8.765	0.2518203
8.77	0.2552251
8.775	0.2596436
8.78	0.2654234
8.785	0.2710026
8.79	0.2765271
8.795	0.2818845
8.8	0.2870898
8.805	0.2922646
8.81	0.2974414
8.815	0.3024922
8.82	0.3074434
8.825	0.3126758
8.83	0.3179199
8.835	0.3232272
8.84	0.3282879
8.845	0.3332588
8.85	0.3381724
8.855	0.3430734
8.86	0.3482377
8.865	0.3529858
8.87	0.3576055
8.875	0.3619696
8.88	0.366474
8.885	0.3710501
8.89	0.3755374
8.895	0.3797562
8.9	0.3839514
8.905	0.3881629
8.91	0.392107
8.915	0.3960341
8.92	0.3999669
8.925	0.4038387
8.93	0.407145
8.935	0.4104236
8.94	0.413089
8.945	0.4156516
8.95	0.4182095
8.955	0.4208313
8.96	0.4233117
8.965	0.4259177
8.97	0.4281074
8.975	0.4279479
8.98	0.4266188
8.985	0.4234767
8.99	0.4203777
8.995	0.4173185
9	0.4141833
9.005	0.4110217
9.01	0.4079708
9.015	0.4048391
9.02	0.4013524
9.025	0.3978156
9.03	0.3936889
9.035	0.3891823
9.04	0.3845865
9.045	0.3800146
9.05	0.3753781
9.055	0.3707195
9.06	0.3659457
9.065	0.3607011
9.07	0.355688
9.075	0.3507883
9.08	0.3459195
9.085	0.3409528
9.09	0.3358748
9.095	0.3307279
9.1	0.3257257
9.105	0.3206764
9.11	0.3156429
9.115	0.3106773
9.12	0.3056482
9.125	0.3003627
9.13	0.2950607
9.135	0.2900037
9.14	0.2847795
9.145	0.2799553
9.15	0.2752349
9.155	0.2704122
9.16	0.2652894
9.165	0.2600328
9.17	0.2544184
9.175	0.2492798
9.18	0.2461991
9.185	0.2443279
9.19	0.2440245
9.195	0.2437308
9.2	0.2432566
9.205	0.2428361
9.21	0.2424241
9.215	0.2418683
9.22	0.2412196
9.225	0.240906
9.23	0.240629
9.235	0.2408803
9.24	0.2415182
9.245	0.2421861
9.25	0.2431726
9.255	0.2442559
9.26	0.2452568
9.265	0.2460093
9.27	0.2469105
9.275	0.2475144
9.28	0.2475565
9.285	0.2476022
9.29	0.2474988
9.295	0.2477283
9.3	0.2483019
9.305	0.2490199
9.31	0.2501118
9.315	0.251293
9.32	0.2526302
9.325	0.2542393
9.33	0.2560503
9.335	0.2577569
9.34	0.2594741
9.345	0.2614771
9.35	0.2639636
9.355	0.2661651
9.36	0.26885
9.365	0.2717788
9.37	0.2747331
