Interval=	0.005 s
ExcelDateTime=	4.6267565354534287e+004	9/2/2026 13:34:06.631762
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMS Triceps
Range=	0.29 mV
0.1	0.09069969
0.105	0.09069969
0.11	0.09069969
0.115	0.09069969
0.12	0.09069969
0.125	0.09069969
0.13	0.09069969
0.135	0.09069969
0.14	0.09069969
0.145	0.09069969
0.15	0.09069969
0.155	0.09069969
0.16	0.09069969
0.165	0.09069969
0.17	0.09069969
0.175	0.09069969
0.18	0.09069969
0.185	0.09069969
0.19	0.09069969
0.195	0.09069969
0.2	0.09069969
0.205	0.09011657
0.21	0.08952945
0.215	0.0889357
0.22	0.08833865
0.225	0.08773841
0.23	0.08720128
0.235	0.0866682
0.24	0.0861612
0.245	0.0856683
0.25	0.08518712
0.255	0.08471906
0.26	0.08426153
0.265	0.08383783
0.27	0.08342357
0.275	0.0830144
0.28	0.08260658
0.285	0.08220504
0.29	0.08180404
0.295	0.08140586
0.3	0.08100896
0.305	0.0806126
0.31	0.08023386
0.315	0.07988865
0.32	0.07954588
0.325	0.0792072
0.33	0.07890564
0.335	0.07869688
0.34	0.07857118
0.345	0.07856534
0.35	0.07864487
0.355	0.07870413
0.36	0.07863469
0.365	0.07845597
0.37	0.07828465
0.375	0.07809946
0.38	0.0778974
0.385	0.07754917
0.39	0.07704408
0.395	0.07648205
0.4	0.07588715
0.405	0.07525282
0.41	0.07463947
0.415	0.07403262
0.42	0.07343894
0.425	0.07284476
0.43	0.07223748
0.435	0.07161372
0.44	0.07097118
0.445	0.07031287
0.45	0.06961155
0.455	0.06885569
0.46	0.06806107
0.465	0.06722624
0.47	0.06635167
0.475	0.0654421
0.48	0.06450908
0.485	0.06355891
0.49	0.06258086
0.495	0.06156544
0.5	0.06051776
0.505	0.05944154
0.51	0.0583376
0.515	0.05717498
0.52	0.05595349
0.525	0.05469944
0.53	0.05341848
0.535	0.0520939
0.54	0.05067693
0.545	0.04917966
0.55	0.04762189
0.555	0.04602847
0.56	0.04442842
0.565	0.04286591
0.57	0.04140209
0.575	0.04004154
0.58	0.03881474
0.585	0.03776661
0.59	0.03690095
0.595	0.03621983
0.6	0.03561042
0.605	0.03501218
0.61	0.03443241
0.615	0.03384213
0.62	0.03322289
0.625	0.03253708
0.63	0.03184375
0.635	0.03114775
0.64	0.03044449
0.645	0.02972541
0.65	0.02900906
0.655	0.02833281
0.66	0.02770904
0.665	0.02711187
0.67	0.02653964
0.675	0.02600201
0.68	0.02546036
0.685	0.0249194
0.69	0.02437362
0.695	0.02383523
0.7	0.02334428
0.705	0.02287235
0.71	0.02240424
0.715	0.02193666
0.72	0.02150807
0.725	0.02111594
0.73	0.02072086
0.735	0.0203197
0.74	0.01993285
0.745	0.01960929
0.75	0.01933085
0.755	0.01908381
0.76	0.01884577
0.765	0.01859772
0.77	0.01840346
0.775	0.01825568
0.78	0.0181095
0.785	0.01800738
0.79	0.01795007
0.795	0.01788373
0.8	0.01782297
0.805	0.01776519
0.81	0.01772207
0.815	0.01769752
0.82	0.01767169
0.825	0.01766963
0.83	0.01771862
0.835	0.01776919
0.84	0.01782271
0.845	0.01787992
0.85	0.01795489
0.855	0.01802305
0.86	0.01805238
0.865	0.01807703
0.87	0.0180988
0.875	0.01813236
0.88	0.01814804
0.885	0.01818699
0.89	0.01823592
0.895	0.01825259
0.9	0.01826251
0.905	0.01825654
0.91	0.018252
0.915	0.01824889
0.92	0.01824603
0.925	0.01824609
0.93	0.01824693
0.935	0.01824435
0.94	0.01824609
0.945	0.01825161
0.95	0.01827069
0.955	0.01828867
0.96	0.01831584
0.965	0.0183567
0.97	0.01839251
0.975	0.01840358
0.98	0.01834418
0.985	0.01827932
0.99	0.0181613
0.995	0.01804372
1	0.01793916
1.005	0.01783408
1.01	0.01772709
1.015	0.01762363
1.02	0.01751705
1.025	0.01741146
1.03	0.01729598
1.035	0.01717304
1.04	0.01707904
1.045	0.0169821
1.05	0.01691191
1.055	0.01684417
1.06	0.01678465
1.065	0.01675496
1.07	0.01671055
1.075	0.01666002
1.08	0.01657123
1.085	0.01646839
1.09	0.01635983
1.095	0.01625606
1.1	0.01617719
1.105	0.01610376
1.11	0.01603921
1.115	0.01597399
1.12	0.01590846
1.125	0.0158494
1.13	0.01579745
1.135	0.01574727
