Interval=	2.5e-005 s
ExcelDateTime=	4.5672575103303097e+004	01/15/25 13:48:08.925388
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BioAmp Recording
Range=	20.000 mV
0.000025	-0.000625
0.00005	-0.00125
0.000075	-0.003125
0.0001	-0.005625
0.000125	-0.00875
0.00015	-0.0125
0.000175	-0.016875
0.0002	-0.02125
0.000225	-0.025625
0.00025	-0.02875
0.000275	-0.031875
0.0003	-0.033125
0.000325	-0.034375
0.00035	-0.035
0.000375	-0.035625
0.0004	-0.035
0.000425	-0.035
0.00045	-0.034375
0.000475	-0.034375
0.0005	-0.034375
0.000525	-0.034375
0.00055	-0.034375
0.000575	-0.034375
0.0006	-0.03375
0.000625	-0.03375
0.00065	-0.03375
0.000675	-0.03375
0.0007	-0.033125
0.000725	-0.033125
0.00075	-0.0325
0.000775	-0.03125
0.0008	-0.030625
0.000825	-0.03
0.00085	-0.029375
0.000875	-0.028125
0.0009	-0.0275
0.000925	-0.0275
0.00095	-0.026875
0.000975	-0.026875
0.001	-0.0275
0.001025	-0.024375
0.00105	-0.01375
0.001075	0.0125
0.0011	0.0625
0.001125	0.141875
0.00115	0.25125
0.001175	0.3875
0.0012	0.53625
0.001225	0.6825
0.00125	0.808125
0.001275	0.901875
0.0013	0.955
0.001325	0.96625
0.00135	0.94125
0.001375	0.888125
0.0014	0.816875
0.001425	0.73625
0.00145	0.6525
0.001475	0.571875
0.0015	0.4975
0.001525	0.4325
0.00155	0.376875
0.001575	0.330625
0.0016	0.2925
0.001625	0.261875
0.00165	0.2375
0.001675	0.218125
0.0017	0.2025
0.001725	0.19
0.00175	0.18
0.001775	0.17125
0.0018	0.16375
0.001825	0.1575
0.00185	0.1525
0.001875	0.146875
0.0019	0.1425
0.001925	0.13875
0.00195	0.134375
0.001975	0.130625
0.002	0.126875
0.002025	0.123125
0.00205	0.12
0.002075	0.116875
0.0021	0.114375
0.002125	0.11125
0.00215	0.108125
0.002175	0.105625
0.0022	0.10375
0.002225	0.10125
0.00225	0.099375
0.002275	0.0975
0.0023	0.095625
0.002325	0.095
0.00235	0.093125
0.002375	0.091875
0.0024	0.090625
0.002425	0.089375
0.00245	0.0875
0.002475	0.085625
0.0025	0.084375
0.002525	0.083125
0.00255	0.081875
0.002575	0.080625
0.0026	0.08
0.002625	0.07875
0.00265	0.076875
0.002675	0.075625
0.0027	0.075
0.002725	0.07375
0.00275	0.0725
0.002775	0.07125
0.0028	0.070625
0.002825	0.069375
0.00285	0.06875
0.002875	0.068125
0.0029	0.068125
0.002925	0.066875
0.00295	0.06625
0.002975	0.065625
0.003	0.065
0.003025	0.065
0.00305	0.06375
0.003075	0.06375
0.0031	0.063125
0.003125	0.063125
0.00315	0.0625
0.003175	0.0625
0.0032	0.061875
0.003225	0.061875
0.00325	0.06125
0.003275	0.060625
0.0033	0.060625
0.003325	0.06
0.00335	0.059375
0.003375	0.05875
0.0034	0.05875
0.003425	0.058125
0.00345	0.058125
0.003475	0.058125
0.0035	0.05875
0.003525	0.058125
0.00355	0.05875
0.003575	0.05875
0.0036	0.05875
0.003625	0.058125
0.00365	0.0575
0.003675	0.0575
0.0037	0.056875
0.003725	0.05625
0.00375	0.05625
0.003775	0.055
0.0038	0.054375
0.003825	0.054375
0.00385	0.053125
0.003875	0.0525
0.0039	0.051875
0.003925	0.050625
0.00395	0.05
0.003975	0.04875
0.004	0.0475
0.004025	0.046875
0.00405	0.04625
0.004075	0.045
0.0041	0.045
0.004125	0.044375
0.00415	0.04375
0.004175	0.04375
0.0042	0.04375
0.004225	0.04375
0.00425	0.04375
0.004275	0.04375
0.0043	0.04375
0.004325	0.043125
0.00435	0.043125
0.004375	0.0425
0.0044	0.041875
0.004425	0.04125
0.00445	0.040625
0.004475	0.04
0.0045	0.039375
0.004525	0.039375
0.00455	0.03875
0.004575	0.03875
0.0046	0.039375
0.004625	0.039375
0.00465	0.039375
0.004675	0.039375
0.0047	0.039375
0.004725	0.039375
0.00475	0.039375
0.004775	0.039375
0.0048	0.039375
0.004825	0.03875
0.00485	0.03875
0.004875	0.038125
0.0049	0.038125
0.004925	0.038125
0.00495	0.038125
0.004975	0.03875
