Interval=	2.5e-005 s																					
ExcelDateTime=	4.46E+04	17:28.0																				
TimeFormat=	StartOfBlock																					
DateFormat=																						
ChannelTitle=	Stimulus	BioAmp Recording																				
Range=	1000.0 mV	500.0 ?V																				
0.00705	0.4375	-112.375																				
0.007075	0.4375	-112.9531																		Interval=	2.5e-005 s	
0.0071	0.4375	-113.5469																		ExcelDateTime=	4.46E+04	22:23.7
0.007125	0.4375	-114.1094																		TimeFormat=	StartOfBlock	
0.00715	0.4375	-114.5625																		DateFormat=		
0.007175	0.4375	-114.9375																		ChannelTitle=	Stimulus	BioAmp Recording
0.0072	0.4375	-115.2344																		Range=	1000.0 mV	500.0 ?V
0.007225	0.4375	-115.4844																		0.0071	0.4375	22.14063
0.00725	0.40625	-115.7813																		0.0071	0.40625	21.125
0.007275	0.4375	-116.2031																		0.0071	0.40625	20.01563
0.0073	0.4375	-116.8125																		0.0071	0.4375	18.82813
0.007325	0.4375	-117.6406																		0.0072	0.4375	17.57813
0.00735	0.4375	-118.6563																		0.0072	0.4375	16.29688
0.007375	0.4375	-119.8438																		0.0072	0.4375	15.01563
0.0074	0.4375	-121.1406																		0.0072	0.4375	13.78125
0.007425	0.40625	-122.5																		0.0073	0.4375	12.60938
0.00745	0.40625	-123.8438																		0.0073	0.4375	11.5625
0.007475	0.40625	-125.1563																		0.0073	0.4375	10.64063
0.0075	0.4375	-126.4531																		0.0073	0.4375	9.859375
0.007525	0.4375	-127.7344																		0.0074	0.4375	9.1875
0.00755	0.4375	-129.0313																		0.0074	0.4375	8.640625
0.007575	0.4375	-130.4063																		0.0074	0.4375	8.15625
0.0076	0.40625	-131.8906																		0.0074	0.46875	7.6875
0.007625	0.40625	-133.5156																		0.0075	0.46875	7.21875
0.00765	0.4375	-135.3125																		0.0075	0.46875	6.6875
0.007675	0.4375	-137.2344																		0.0075	0.46875	6.0625
0.0077	0.4375	-139.25																		0.0075	0.4375	5.34375
0.007725	0.4375	-141.3281																		0.0076	0.4375	4.46875
0.00775	0.4375	-143.375																		0.0076	0.40625	3.453125
0.007775	0.4375	-145.3125																		0.0076	0.40625	2.28125
0.0078	0.4375	-147.1406																		0.0076	0.40625	0.984375
0.007825	0.4375	-148.7813																		0.0077	0.40625	-0.4375
0.00785	0.4375	-150.2344																		0.0077	0.40625	-1.9375
0.007875	0.4375	-151.5781																		0.0077	0.4375	-3.484375
0.0079	0.4375	-152.8125																		0.0077	0.4375	-5.03125
0.007925	0.4375	-154.0625																		0.0078	0.40625	-6.59375
0.00795	0.4375	-155.3281																		0.0078	0.40625	-8.140625
0.007975	0.4375	-156.7031																		0.0078	0.40625	-9.6875
0.008	512.5	-158.4375																		0.0078	0.40625	-11.25
0.008025	0.53125	-161.625																		0.0079	0.40625	-12.82813
0.00805	0.5625	-167.9688																		0.0079	0.40625	-14.4375
